question;subject;comment;longitudeETRSGK25;latitudeETRSGK25
Meluisa paikka;Liikaa henkilöauto liikennettä, esplanadin...;Liikaa henkilöauto liikennettä, esplanadin voisi sulkea liikenteeltä, tai laittaa maan alle. Muuten puisto on mukava ajanvietto paikka, varsinkin ravintolapäivänä sykkii elämää ja tuoksuja. Koko alue kauppatorista svenskatearterille voitaisi;25497338,500161000;6672763,000000000
Kehittämisideani tälle paikalle!;Kaupunginteatterin takana on autopaikat...;Kaupunginteatterin takana on autopaikat sijoitettu omituisesti Ensilinja kadun päälle. Ne tulisi siirtää pois ja muuttaa tämä katu osa takaisin kaduksi ja yhteydeksi jalankululle ja pyöräilylle.;25496843,840155600;6674367,600000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Puisto itsessään on kiva kohtaamispaikka...;Puisto itsessään on kiva kohtaamispaikka keskellä kaupunkia. Autot pois!;25497054,499945000;6672731,000000000
Meluisa paikka;Aleksanterinkatu on aika tympeä. En...;Aleksanterinkatu on aika tympeä. En kyllä edes oikein tiedä mitä sille voisi tehdä. Nostaa ratikat ylös ja tehdä kävelykadun kuin Sydneyn George streetillä suunnitellaan... ? kävelykatu saman tyyyppisen kuin Brisbanen Queen st. mukavan elä;25496944,500055000;6672885,000000000
Kehittämisideani tälle paikalle!;Senaatin torin eteläreunaan tulsi kesäksi...;Senaatin torin eteläreunaan tulsi kesäksi saada kahvilaterassit jotta alue voisi tarjota, joita istumapaikkoja turisteille kesäaikana. Nyt alueella on ylikorostunut yksioikoinen monumentaali-ilme;25497354,420145000;6672939,860000000
Kehittämisideani tälle paikalle!;Kaisaniemenranta on tehty erittäin...;Kaisaniemenranta on tehty erittäin komea 1930-luvun suunnitelman mukaan. Nyt rannassa ei kuitenkaan ole juuri mitään. Ranta tulisi tasoittaa kävelyrannaksi ja tehdä Pitkänsillan viereen tila kahvilaterassille. Ja palauttaa rantaa kiva pienvenei;25497137,619861800;6673700,240000000
Virkistävä paikka;Virkistävä paikka: merimaisema ja...;Virkistävä paikka: merimaisema ja rauhallinen.;25498723,999775400;6672579,000000000
Virkistävä paikka;Virkistävä paikka: merimaisema ja...;Virkistävä paikka: merimaisema ja rauhallinen.;25498707,999791400;6672915,000000000
Kehittämisideani tälle paikalle!;Jalkapallokentän voisi kunnostaa.;Jalkapallokentän voisi kunnostaa.;25498836,000163400;6672807,000000000
Turvaton paikka;Vähän kummallinen tämä pääty Kaisaniemen...;Vähän kummallinen tämä pääty Kaisaniemen puistoa...;25496783,500216000;6673797,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Kiva alue kaisaniemen puisto, voisi...;Kiva alue kaisaniemen puisto, voisi olla enemmänkin tapahtumia ja aktiviteettia, urheilumahdollisuudet kivat myös;25497027,499972000;6673529,000000000
Kehittämisideani tälle paikalle!;Kaisaniemen Puutarhakuja voisi olla...;Kaisaniemen Puutarhakuja voisi olla yksi keskustan kävelyn pääväyliä. Tämä katu kannattaisi kunnostaa kävelyn ehdoilla niin että siitä tulee nopea ja sujuva kävely-yhteys itä länsi suunnassa. Kaisaniemen koulun edustan portaat tulisi pal;25497064,859934600;6673353,860000000
Hankala kulkea jalan.;Tääs ongelma kun pyörätie ajoradan...;Tääs ongelma kun pyörätie ajoradan vieressä ja jalankulkijat lahden puolella, osa jalankulkijoista edelleen törttöilee pyörätiellä.;25496251,500248000;6674585,000000000
Kehittämisideani tälle paikalle!;Yrjö Koskisen kadun eteläpuolen kortteleiden...;Yrjö Koskisen kadun eteläpuolen kortteleiden läpi ei ole hyvä reittejä. Näiden korttelien läpi tulisi olla puistomaiset jalankulkureitit.;25497325,620173800;6673292,460000000
Keskustan tinkimätön helmi;Ihana alppipuisto tapahtumineen, ihan...;Ihana alppipuisto tapahtumineen, ihan huippu paikka, ei mitään muutettavaa!;25496627,499872000;6674929,000000000
Kehittämisideani tälle paikalle!;Katajannokanlaituri kadulta tulisi poistaa...;Katajannokanlaituri kadulta tulisi poistaa kokonaan autoliikenne ja varata katu vain jalankulkuun ja pyöräilyyn.;25497667,459832000;6672753,420000000
Kehittämisideani tälle paikalle!;Sörnäisten rantatien alku muistuttaa...;Sörnäisten rantatien alku muistuttaa luotaan työntävää parkkialuetta. Sen tilaan kannattaisi kehittää puistomainen Las Ramblas katua muistuttava kävelypasaasi, jota pitkin on hienoa kävellä torilta Merihaan suuntaan.;25497415,570083900;6674099,240000000
Turvaton paikka;Vain karttamerkintä;;25496505,499994000;6673107,500000000
Turvaton paikka;Vain karttamerkintä;;25496572,499927000;6673012,500000000
Turvaton paikka;Vain karttamerkintä;;25496773,500226000;6672759,500000000
Kehittämisideani tälle paikalle!;Hakanimen hallin edusta on varattu autopaikoiksi,...;Hakanimen hallin edusta on varattu autopaikoiksi, eikö tässä voisi olla kiva paikka kahviloille, jalankululle ja tapaamispaikka.;25497295,940203500;6674110,890000000
Kehittämisideani tälle paikalle!;Eteläranta 14 vanha kauppakäytävä...;Eteläranta 14 vanha kauppakäytävä ja jalankulkutila tulisi taas avata korttelin läpi. Se voisi olla hvyin tunnelmallinen paikka mm turisteille.;25497328,940170500;6672593,785000000
Kehittämisideani tälle paikalle!;Kasarmin torin eteläpuolen korttelin...;Kasarmin torin eteläpuolen korttelin sisäpuoli tulisi saada jalankulun käyttöön. Alue on nyt hyvin suuri ja suljettu tila.;25497161,419838000;6672379,035000000
Kehittämisideani tälle paikalle!;Rautatieaseman itäpuolen piha on nyt...;Rautatieaseman itäpuolen piha on nyt tuhlattu suljeuttuna parkkitilana. Se tulisi avata kävelyyn ulko-oleskeluun ja kahviloiden tilaksi.;25496815,680183800;6673291,405000000
Turvaton paikka;Kaisaniemen kasvitieteellinen puutarha...;Kaisaniemen kasvitieteellinen puutarha suljettuine aitoineen ja näkymät estävine pusikoineen estää kulkua Kaisaniemssä pahoin ja on osasyy koettuun turvattomuuteen. Alueen läpi tulisi olla normaalit kulkuyhteydet ja alueella ei tulisi pitää;25497153,499846000;6673564,445000000
Kehittämisideani tälle paikalle!;Unioninkatu Kaisaniemessä on aivan...;Unioninkatu Kaisaniemessä on aivan liian leveä ja autoväylämäinen. Jalankulkutila on painettu jopa talon alle Kuntien eläkevakuutustalon kohdalla. Katu tulisi muuttaa 1+1 kaistaiseksi ja leventää jalkakäytävät ja pyörätiet kunnollisiksi;25497239,420260000;6673594,815000000
Kehittämisideani tälle paikalle!;Jonh Stenbergin rannasta voisi olla...;Jonh Stenbergin rannasta voisi olla siro ja kapea jalankulku silta, joka kätevästi yhdistäisi Kruunuhakaa Hakaniemeen.;25497351,160148300;6673772,705000000
Kehittämisideani tälle paikalle!;Sturenkadun silta on sangen heikkoa...;Sturenkadun silta on sangen heikkoa jalankulkuympäristöä. Silta tulisi purkaa ja muutaa ratkaisu maantasoon.;25497272,130227300;6675436,795000000
Kehittämisideani tälle paikalle!;Porkkalan kadun silta on sangen heikkoa...;Porkkalan kadun silta on sangen heikkoa ympäristöä. Silta tulsii purkaa ja muuttta katu maantasoon.;25495521,709977700;6672409,975000000
Kehittämisideani tälle paikalle!;Ratakadun ilme ja jalankulkuympäristö...;Ratakadun ilme ja jalankulkuympäristö ei ole paikan sijainnin mukaisella tasolla. Jalkakäytävät tulisi tehdä leveinä ja luoda tilaan ryhdikkää puurivit ja kohottaa ilme Esplanadia vastaaavalle tasolle.;25496032,069967400;6672992,935000000
Kehittämisideani tälle paikalle!;Diakonissalaitoksen länsipuolella on...;Diakonissalaitoksen länsipuolella on omituien parkkialue. Se tulsii muuttaa katutilaksi jossa on sujuva yhteys Linnanmäen suuntaan ja ilme on katumainen eikä parkkikenttämäinen.;25496577,109922300;6674620,615000000
Kehittämisideani tälle paikalle!;Brahen kentällä aita tulisi sijoittaa...;Brahen kentällä aita tulisi sijoittaa urheilukentän viereen niin ettei aita sulje koko puistoalaa pois jalankulkutilasta. Kentän reuna-alueista voisi kehittää hyvää puistomaista kaupunkitilaa eikä vain kentän huoltoaluetilaa.;25497230,909768500;6674896,175000000
Kehittämisideani tälle paikalle!;Kalastamasta ei kehity laadukasta jalankulkuympär...;Kalastamasta ei kehity laadukasta jalankulkuympäristöä jos sen halkaisee valtatiemäisen leveä autosilta. Silta ja metro tulisi tunneloida pitkässä juoksuussa niin että katutila alueella voi olla esteetön ja meluton.;25498868,830130600;6674908,495000000
Hankala kulkea jalan.;Turistit eivät ymmärrä että Kauppatorin...;Turistit eivät ymmärrä että Kauppatorin ulkoreunan väylä on pyörätie. Ehdotan että jalankulkijoille tehdään asfaltoitu väylä pyörätien viereen.;25497503,999995500;6672719,000000000
Turvaton paikka;Turvattomat liikennevalot. Myös paljon...;Turvattomat liikennevalot. Myös paljon laitapuolnekulkijoita.;25496697,999801500;6673065,500000000
Kehittämisideani tälle paikalle!;Lisää puita ja penkkejä.;Lisää puita ja penkkejä.;25496827,000172500;6672951,500000000
Keskustan tinkimätön helmi;Puutteistaan huolimatta erinomainen...;Puutteistaan huolimatta erinomainen uusi kävelyalue.;25496828,000171500;6672933,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Paljon opiskelijoita ja tapahtumaa.;Paljon opiskelijoita ja tapahtumaa.;25497138,499861000;6672997,500000000
Kehittämisideani tälle paikalle!;Autojen viemä tila vs kävelijöiden...;Autojen viemä tila vs kävelijöiden määrä. Kävelykatu olisi enemmän kuin paikallaan.;25497025,999973500;6672993,500000000
Keskustan tinkimätön helmi;Koko aleksi on varsin toimiva alue....;Koko aleksi on varsin toimiva alue. riittävästi tilaa jalankulkijoille ja joukkoliikenteelle.;25496772,500227000;6672880,500000000
Kehittämisideani tälle paikalle!;Jakeluliikenteen pelisääntöjä voisi...;Jakeluliikenteen pelisääntöjä voisi tarkentaa. Aika usein autoja parkkeerattu keskelle jalkakäytäviä.;25496907,000092500;6672889,500000000
Virkistävä paikka;Espa ei esittelyjä kaipaa.;Espa ei esittelyjä kaipaa.;25497022,999976500;6672729,500000000
Kehittämisideani tälle paikalle!;Sillalle menevää pyöräkaistaa voisi...;Sillalle menevää pyöräkaistaa voisi leventää esim. siirtämällä liikennevalotolppaa kaiteen toiselle puolelle. Ja parantamalla kiveyksiä ja kaivonkantoja.;25494476,000023500;6672155,000000000
Turvaton paikka;Autoille annettu kohtuuttoman paljon...;Autoille annettu kohtuuttoman paljon tilaa suhteessa muuhun liikenteeseen (jalankulkijat ja pyöräilijät).;25496951,500048000;6672761,000000000
Hankala kulkea jalan.;Liikaa tolppia mutterikahvilan kohdalla,...;Liikaa tolppia mutterikahvilan kohdalla, aiheuttaa pientä vaaratilannetta kahteen eri suuntaan kulkevan pyöräilijän kohdatessa. Johtaa turhaan mutkitteluun, ja joskus jalankulkijatkin meinaavat jäädä alle.;25494039,999959500;6672031,000000000
Kehittämisideani tälle paikalle!;Koko Pohjois Esplanadi olisi syytä...;Koko Pohjois Esplanadi olisi syytä muuttaa kävelykaduksi. Suomen paras terassialue uhrattu parkkipaikaksi ja pariksi autokaistaksi.;25497039,499960000;6672768,500000000
Keskustan tinkimätön helmi;Vain karttamerkintä;;25496276,000223500;6672131,000000000
Hankala kulkea jalan.;Kapeat jalankulku olosuhteet.;Kapeat jalankulku olosuhteet.;25496646,499853000;6672964,500000000
Virkistävä paikka;Rauhaisa uintipoukama ja kivat näkymät!...;Rauhaisa uintipoukama ja kivat näkymät!;25495027,999971500;6672739,000000000
Kehittämisideani tälle paikalle!;Pohjoiset autokaistat voisi muuttaa...;Pohjoiset autokaistat voisi muuttaa kävelyalueeksi.;25496620,499879000;6672978,500000000
Keskustan tinkimätön helmi;Mukava kävelyalue.;Mukava kävelyalue.;25496248,499751000;6672956,500000000
Kehittämisideani tälle paikalle!;Mahtuisiko baanalle pari kahvilakojua...;Mahtuisiko baanalle pari kahvilakojua työmatkailijoita virkistämään?;25496011,499988000;6672989,500000000
Virkistävä paikka;Kaikki puistot erittäin jees, yleensä. ...;Kaikki puistot erittäin jees, yleensä.;25496168,499831000;6674016,500000000
Meluisa paikka;Staran puhdistusauto siivoaa toimistotalon...;"Staran puhdistusauto siivoaa toimistotalon pihan aina klo 07. Voisiko tätä myöhäistää; tahtoisin vielä nukkua ;)";25495935,500064000;6672743,500000000
Hankala kulkea jalan.;Stadin ehdottomasti paskin puisto. Ymmärrän,...;Stadin ehdottomasti paskin puisto. Ymmärrän, että lasten leikkipaikkoja aidataan. Tää vaan näyttää jotenkin avovankilalta ja on vaikea kulkea. Plääh.;25496016,499983000;6672600,500000000
Kehittämisideani tälle paikalle!;Tarvitseeko tässä oikeasti olla muutama...;Tarvitseeko tässä oikeasti olla muutama parkkipaikka? Varmaan parempaakin käyttöä löytyisi. Parkkialueen voisi vaikka muuttaa kadunvarsi pysäköinniksi.;25496731,499768000;6673080,500000000
Hankala kulkea jalan.;Hallin ympäristö on aika kömpelö...;Hallin ympäristö on aika kömpelö sekä jalankulkijoille että pyöräilijöille. Vähemmän mutkia, viihdyttävämmät jalkakäytävät!;25497394,500105000;6672588,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Stokkan kello. Kaupunkilaiselle helppo...;Stokkan kello. Kaupunkilaiselle helppo maamerkki.;25496768,500231000;6672848,500000000
Kehittämisideani tälle paikalle!;Taas annettu liikaa tilaa autoille....;Taas annettu liikaa tilaa autoille. 1+1 autokaistaa riittää vallan mainioisti. kaivokadun eteläiset autokaistat voisi muuttaa kävelyalueeksi.;25496786,500213000;6673056,500000000
Hankala kulkea jalan.;Aika kapea kohta jalankulkuun.;Aika kapea kohta jalankulkuun.;25497368,500131000;6672688,500000000
Kehittämisideani tälle paikalle!;Tänne voisi rakentaa kahvilan.;Tänne voisi rakentaa kahvilan.;25497421,000078400;6672623,500000000
Virkistävä paikka;Uudistettu Keskuskatu on tyylikäs ja...;Uudistettu Keskuskatu on tyylikäs ja kerrankin ulkonäöltään kaunis on myös hyvä kävellä.;25496826,000173500;6672955,000000000
Kehittämisideani tälle paikalle!;Parkkipaikat eristävät rannan kävelyltä....;Parkkipaikat eristävät rannan kävelyltä. Ratkaisuna voisi toimia parkkipaikkojen poisto.;25497414,000085500;6672479,500000000
Kehittämisideani tälle paikalle!;Tää olis todella hyvä kohtaamispaikka,...;Tää olis todella hyvä kohtaamispaikka, jos alue saatais siistittyä. Alueella vois olla iso tasokas terassiravintola tai alue;25497818,500181000;6675004,500000000
Hankala kulkea jalan.;Paasikiven patsaan aukio on päällystetty...;Paasikiven patsaan aukio on päällystetty mukulakivillä, joihin kompastuu. Vieressä menee sileä pyörätie, ja monet jalankulkijat siirtyvät sinne, etenkin jos heillä on lastenvaunut, vedettävä matkalaukku tms. mitä on hankala kuljettaa. Muk;25496434,000065500;6673135,000000000
Virkistävä paikka;Oikein hieno merellinen ympäristö,...;Oikein hieno merellinen ympäristö, laivoja, satamaa, telakkaa, näkee kauemmaksikin merelle, rauhallista, hiukan etäisyyttä vilkkaaseen tiehen.;25496023,999975500;6671923,000000000
Virkistävä paikka;Rauhallista käveltävää kaupunkia....;Rauhallista käveltävää kaupunkia.;25496619,999879500;6671431,000000000
Hankala kulkea jalan.;Jalkakäytävän reunassa on pyörätie,...;Jalkakäytävän reunassa on pyörätie, joka on liian leveä suhteessa jalankululle jätettyyn tilaan. Turistilaumat eivät mahdu kävelemään.;25497545,999953500;6672227,000000000
Virkistävä paikka;Hieno merenrantapaikka.;Hieno merenrantapaikka.;25496496,000003500;6671227,000000000
Virkistävä paikka;Kivaa arkkitehtuuria.;Kivaa arkkitehtuuria.;25497780,000219500;6671763,000000000
Hankala kulkea jalan.;Pyörätie on liian leveä suhteessa...;Pyörätie on liian leveä suhteessa jalankulkijoille jätettyyn tilaan. Jos pyörätie olisi yksisuuntainen, ja toiselle puolelle Mannerheimintietä rakennettaisiin vastaava yksisuuntainen pyörätie, niin jalankululle voisi jättää lisää tilaa.;25496274,000225500;6673615,000000000
Virkistävä paikka;Upeat maisemat Siltavuorenpenkereeltä....;Upeat maisemat Siltavuorenpenkereeltä.;25497414,500085000;6673688,500000000
Virkistävä paikka;Rauhallinen kävelykatu, kivaa arkkitehtuuria...;Rauhallinen kävelykatu, kivaa arkkitehtuuria ympärillä.;25497502,499997000;6673594,500000000
Turvaton paikka;Pöheikössä liikkuu laitapuolen kulkijoita....;Pöheikössä liikkuu laitapuolen kulkijoita. Paikalle kannattaisi laittaa tilapäinen puisto, ns. Korpisen nurmikko oli hyvä ajatus, parempi kuin odottaa vuosikausia että jostain tulee rahaa hienolle puistolle.;25496490,000009500;6673887,000000000
Virkistävä paikka;Vihreyttä kaupungissa.;Vihreyttä kaupungissa.;25497046,499953000;6673588,500000000
Virkistävä paikka;Rauhallinen paikka, kivaa uutta ja vanhaa...;Rauhallinen paikka, kivaa uutta ja vanhaa arkkitehtuuria ympärillä.;25497322,500177000;6673362,500000000
Virkistävä paikka;Rauhallista.;Rauhallista.;25497526,499973000;6673154,500000000
Virkistävä paikka;Tyylikäs paikka.;Tyylikäs paikka.;25497392,500107000;6673144,500000000
Virkistävä paikka;Maisemat, arkkitehtuuri, ihmiset, elävää...;Maisemat, arkkitehtuuri, ihmiset, elävää kaupunkia.;25497345,500154000;6673016,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Ravintola pikku Vallilan kulma. Terassi....;Ravintola pikku Vallilan kulma. Terassi. Rauhallista.;25497684,499815000;6675510,500000000
Virkistävä paikka;Tulee hyvälle mielelle, kun katsoo,...;Tulee hyvälle mielelle, kun katsoo, miten väki on ottanut Musiikkitalon ympäristön ja Kansalaistorin aktiiviseen käyttöön.;25496436,000063500;6673366,000000000
Kehittämisideani tälle paikalle!;Jalkakäytävää voisi hieman leventää...;Jalkakäytävää voisi hieman leventää sataman puolelle, nykyiselle parkkipaikalle, joka on suurimmaksi osaksi tyhjillään. Reunaan voisi laittaa kauniita istutuksia.;25497617,999881500;6672119,000000000
