Surname,Race,Number of occurrences among people self-identifying as this race,Surname rank among Asians & Pacific Islanders,% of people with surname self-identifying as this race,U.S. Rank,U.S. total occurrences
MURAKAMI,Asian and Pacific Islander,2344,421,83.2%,10460,2817
SIDHU,Asian and Pacific Islander,2341,423,83.0%,10450,2821
SALVADOR,Asian and Pacific Islander,2338,424,26.5%,3694,8827
ENRIQUEZ,Asian and Pacific Islander,2325,425,7.8%,1072,29886
MAHMOOD,Asian and Pacific Islander,2310,426,65.5%,8594,3525
OU,Asian and Pacific Islander,2308,427,95.3%,11844,2422
ARORA,Asian and Pacific Islander,2305,428,87.3%,11044,2640
AGARWAL,Asian and Pacific Islander,2304,429,92.0%,11523,2504
SILVA,Asian and Pacific Islander,2296,430,1.8%,214,126164
SAKAMOTO,Asian and Pacific Islander,2296,430,82.3%,10548,2790
LEWIS,Asian and Pacific Islander,2295,432,0.5%,26,509930
NI,Asian and Pacific Islander,2289,433,94.7%,11859,2418
SAMUEL,Asian and Pacific Islander,2280,434,11.9%,1711,19225
SZETO,Asian and Pacific Islander,2280,434,94.0%,11827,2426
HALL,Asian and Pacific Islander,2273,436,0.5%,30,473568
GONZALEZ,Asian and Pacific Islander,2271,437,0.4%,23,597718
LAY,Asian and Pacific Islander,2267,438,12.6%,1832,17979
UDDIN,Asian and Pacific Islander,2265,439,76.9%,10093,2944
TRIVEDI,Asian and Pacific Islander,2265,439,92.7%,11737,2444
HASHIMOTO,Asian and Pacific Islander,2261,441,83.6%,10811,2706
SHIMIZU,Asian and Pacific Islander,2257,442,84.8%,10976,2660
CLARK,Asian and Pacific Islander,2248,443,0.4%,25,548369
UY,Asian and Pacific Islander,2241,444,91.1%,11680,2461
FUJIMOTO,Asian and Pacific Islander,2236,445,83.5%,10907,2678
HAM,Asian and Pacific Islander,2235,446,14.1%,2103,15843
MARQUEZ,Asian and Pacific Islander,2231,447,2.8%,357,79951
HASSAN,Asian and Pacific Islander,2228,448,18.6%,2762,11993
WENG,Asian and Pacific Islander,2228,448,83.8%,10982,2658
CHAI,Asian and Pacific Islander,2227,450,85.2%,11132,2615
GUERRERO,Asian and Pacific Islander,2222,451,2.4%,291,94152
IKEDA,Asian and Pacific Islander,2211,452,85.2%,11200,2595
KAN,Asian and Pacific Islander,2200,453,81.3%,10816,2705
AGUILAR,Asian and Pacific Islander,2199,454,1.7%,213,126399
GIANG,Asian and Pacific Islander,2196,455,96.1%,12458,2285
ASUNCION,Asian and Pacific Islander,2193,456,71.4%,9700,3073
AGUSTIN,Asian and Pacific Islander,2191,457,55.1%,7711,3979
SRINIVASAN,Asian and Pacific Islander,2191,457,92.8%,12112,2361
EVANGELISTA,Asian and Pacific Islander,2186,459,31.8%,4720,6871
MARIANO,Asian and Pacific Islander,2181,460,30.7%,4576,7111
SY,Asian and Pacific Islander,2178,461,78.1%,10566,2787
MISTRY,Asian and Pacific Islander,2176,462,88.2%,11653,2466
CORTEZ,Asian and Pacific Islander,2162,463,2.8%,367,77492
INOUYE,Asian and Pacific Islander,2161,464,78.6%,10672,2751
HENG,Asian and Pacific Islander,2154,465,75.0%,10281,2873
ANCHETA,Asian and Pacific Islander,2151,466,72.1%,9973,2985
KEO,Asian and Pacific Islander,2146,467,85.4%,11496,2512
HARRIS,Asian and Pacific Islander,2137,468,0.4%,24,593542
NISHIMURA,Asian and Pacific Islander,2133,469,83.6%,11349,2551
PINEDA,Asian and Pacific Islander,2129,470,5.5%,806,38999
TSAO,Asian and Pacific Islander,2121,471,93.9%,12573,2259
NAKAGAWA,Asian and Pacific Islander,2117,472,86.4%,11726,2449
LAL,Asian and Pacific Islander,2116,473,73.8%,10294,2868
HSIAO,Asian and Pacific Islander,2116,473,95.8%,12799,2208
DELOSSANTOS,Asian and Pacific Islander,2113,475,15.3%,2409,13802
PAIK,Asian and Pacific Islander,2108,476,86.0%,11722,2450
DELOSREYES,Asian and Pacific Islander,2104,477,56.6%,8212,3716
NELSON,Asian and Pacific Islander,2102,478,0.5%,40,412236
SAELEE,Asian and Pacific Islander,2094,479,93.1%,12624,2250
SISON,Asian and Pacific Islander,2092,480,78.2%,10920,2674
SINHA,Asian and Pacific Islander,2083,481,88.3%,12122,2360
SARMIENTO,Asian and Pacific Islander,2068,482,23.0%,3630,8986
JACKSON,Asian and Pacific Islander,2065,483,0.3%,18,666125
ROMERO,Asian and Pacific Islander,2061,484,1.3%,154,153772
MIRZA,Asian and Pacific Islander,2054,485,63.5%,9267,3234
PERALTA,Asian and Pacific Islander,2046,486,8.3%,1305,24713
YAMASHITA,Asian and Pacific Islander,2043,487,83.9%,11781,2435
KUANG,Asian and Pacific Islander,2036,488,98.3%,13473,2071
CABRERA,Asian and Pacific Islander,2035,489,3.6%,524,57171
KANESHIRO,Asian and Pacific Islander,2031,490,84.2%,11879,2413
CONCEPCION,Asian and Pacific Islander,2029,491,22.0%,3536,9222
ABE,Asian and Pacific Islander,2027,492,67.6%,9930,2998
MANALO,Asian and Pacific Islander,2027,492,82.3%,11677,2462
MO,Asian and Pacific Islander,2027,492,85.9%,12112,2361
JI,Asian and Pacific Islander,2022,495,96.3%,13311,2100
JO,Asian and Pacific Islander,2020,496,80.3%,11476,2517
SETO,Asian and Pacific Islander,2012,497,79.7%,11444,2526
PANDYA,Asian and Pacific Islander,2011,498,92.3%,12936,2178
MORI,Asian and Pacific Islander,1997,499,51.3%,7895,3890
HAHN,Asian and Pacific Islander,1994,500,5.2%,822,38354
ANG,Asian and Pacific Islander,1977,501,77.2%,11317,2562
CHACKO,Asian and Pacific Islander,1972,502,84.0%,12168,2347
JEON,Asian and Pacific Islander,1956,503,92.0%,13175,2126
MANN,Asian and Pacific Islander,1953,504,2.4%,349,81022
FUJII,Asian and Pacific Islander,1943,505,84.4%,12377,2302
ALVAREZ,Asian and Pacific Islander,1941,506,1.1%,132,168817
PAREKH,Asian and Pacific Islander,1941,506,91.2%,13165,2129
CHANDRA,Asian and Pacific Islander,1939,508,79.9%,11818,2428
MOK,Asian and Pacific Islander,1932,509,90.5%,13137,2134
OKAMOTO,Asian and Pacific Islander,1931,510,79.3%,11788,2434
BHATTI,Asian and Pacific Islander,1931,510,80.3%,11917,2406
KAPOOR,Asian and Pacific Islander,1929,512,85.6%,12605,2253
SHAW,Asian and Pacific Islander,1924,513,1.2%,150,155172
KULKARNI,Asian and Pacific Islander,1923,514,92.3%,13407,2083
JOO,Asian and Pacific Islander,1918,515,88.2%,12945,2174
MAH,Asian and Pacific Islander,1912,516,74.9%,11346,2553
LOU,Asian and Pacific Islander,1910,517,78.2%,11758,2441
QIU,Asian and Pacific Islander,1904,518,98.4%,14236,1934
ALLEN,Asian and Pacific Islander,1900,519,0.4%,32,463368
JAMES,Asian and Pacific Islander,1889,520,0.8%,80,233224
CHAE,Asian and Pacific Islander,1883,521,94.1%,13848,2002
KRISHNAN,Asian and Pacific Islander,1879,522,91.8%,13604,2047
VYAS,Asian and Pacific Islander,1874,523,91.1%,13540,2058
REN,Asian and Pacific Islander,1873,524,80.3%,12241,2333
AKHTAR,Asian and Pacific Islander,1872,525,76.6%,11734,2445
SAKAI,Asian and Pacific Islander,1870,526,81.2%,12373,2303
SAEPHAN,Asian and Pacific Islander,1867,527,92.5%,13759,2019
ROBINSON,Asian and Pacific Islander,1861,528,0.4%,27,503028
BAKER,Asian and Pacific Islander,1860,529,0.4%,38,413351
ADAMS,Asian and Pacific Islander,1859,530,0.5%,39,413086
SHAO,Asian and Pacific Islander,1844,531,95.1%,14201,1939
BANH,Asian and Pacific Islander,1843,532,92.6%,13907,1991
PAI,Asian and Pacific Islander,1840,533,86.8%,13213,2119
LIEN,Asian and Pacific Islander,1835,534,27.7%,4860,6630
GHOSH,Asian and Pacific Islander,1835,534,88.3%,13440,2077
ONO,Asian and Pacific Islander,1832,536,82.6%,12767,2218
ABAD,Asian and Pacific Islander,1830,537,38.2%,6523,4795
JOE,Asian and Pacific Islander,1815,538,21.7%,3891,8382
XIA,Asian and Pacific Islander,1810,539,98.0%,14745,1847
MIYAMOTO,Asian and Pacific Islander,1809,540,82.3%,12841,2197
BAEK,Asian and Pacific Islander,1808,541,95.9%,14498,1885
ACOSTA,Asian and Pacific Islander,1805,542,2.4%,377,76477
SALAZAR,Asian and Pacific Islander,1804,543,1.6%,240,113468
TRANG,Asian and Pacific Islander,1803,544,95.0%,14432,1898
DAM,Asian and Pacific Islander,1797,545,69.9%,11287,2570
VALENCIA,Asian and Pacific Islander,1791,546,3.6%,616,50026
IYER,Asian and Pacific Islander,1790,547,92.4%,14212,1937
NAKANO,Asian and Pacific Islander,1788,548,84.2%,13187,2124
CHOUDHURY,Asian and Pacific Islander,1787,549,83.2%,13067,2149
SAETERN,Asian and Pacific Islander,1787,549,92.8%,14273,1926
ZOU,Asian and Pacific Islander,1785,551,96.9%,14783,1842
HUH,Asian and Pacific Islander,1773,552,95.0%,14615,1867
RUIZ,Asian and Pacific Islander,1772,553,1.0%,129,175429
MATSUDA,Asian and Pacific Islander,1771,554,83.3%,13175,2126
PHILIP,Asian and Pacific Islander,1764,555,38.5%,6778,4584
SAINI,Asian and Pacific Islander,1762,556,87.8%,13825,2006
WRIGHT,Asian and Pacific Islander,1761,557,0.4%,34,440367
ALEXANDER,Asian and Pacific Islander,1760,558,0.9%,111,193443
WALKER,Asian and Pacific Islander,1755,559,0.4%,28,501307
TRINIDAD,Asian and Pacific Islander,1752,560,19.0%,3533,9228
SOHN,Asian and Pacific Islander,1750,561,43.2%,7574,4048
MENG,Asian and Pacific Islander,1741,562,45.4%,7987,3837
LAN,Asian and Pacific Islander,1740,563,76.9%,12563,2262
SHU,Asian and Pacific Islander,1737,564,91.8%,14467,1892
BAIG,Asian and Pacific Islander,1734,565,76.8%,12573,2259
HILL,Asian and Pacific Islander,1729,566,0.4%,41,411770
HAQUE,Asian and Pacific Islander,1729,566,83.2%,13440,2077
RASHID,Asian and Pacific Islander,1726,568,40.1%,7152,4309
TIEU,Asian and Pacific Islander,1726,568,96.6%,15146,1786
SUBRAMANIAN,Asian and Pacific Islander,1725,570,94.8%,14920,1820
SCOTT,Asian and Pacific Islander,1722,571,0.4%,36,420091
ALCANTARA,Asian and Pacific Islander,1722,571,21.2%,4017,8112
RAI,Asian and Pacific Islander,1722,571,81.8%,13290,2106
ROBERTS,Asian and Pacific Islander,1721,574,0.5%,45,366215
LEGASPI,Asian and Pacific Islander,1709,575,67.7%,11449,2524
PHU,Asian and Pacific Islander,1706,576,95.8%,15187,1781
GUZMAN,Asian and Pacific Islander,1705,577,1.4%,230,118390
BYUN,Asian and Pacific Islander,1700,578,96.4%,15293,1764
PADILLA,Asian and Pacific Islander,1693,579,2.1%,345,81805
MALHOTRA,Asian and Pacific Islander,1693,579,87.5%,14226,1935
TIEN,Asian and Pacific Islander,1693,579,88.5%,14349,1914
ANAND,Asian and Pacific Islander,1686,582,86.1%,14101,1958
BAINS,Asian and Pacific Islander,1684,583,66.5%,11405,2534
KARIM,Asian and Pacific Islander,1682,584,43.7%,7966,3853
ZHEN,Asian and Pacific Islander,1673,585,97.7%,15661,1713
SAMSON,Asian and Pacific Islander,1670,586,16.6%,3265,10053
MAEDA,Asian and Pacific Islander,1670,586,74.4%,12647,2245
OGAWA,Asian and Pacific Islander,1669,588,83.3%,13838,2004
SENG,Asian and Pacific Islander,1664,589,46.4%,8457,3588
HYUN,Asian and Pacific Islander,1662,590,92.5%,15071,1796
GALANG,Asian and Pacific Islander,1661,591,88.2%,14514,1883
ANDRES,Asian and Pacific Islander,1660,592,16.5%,3273,10034
SHUM,Asian and Pacific Islander,1660,592,82.0%,13724,2025
OKADA,Asian and Pacific Islander,1658,594,84.7%,14101,1958
KHANG,Asian and Pacific Islander,1657,595,92.9%,15167,1784
BERNARDO,Asian and Pacific Islander,1654,596,27.8%,5395,5939
GABRIEL,Asian and Pacific Islander,1649,597,7.5%,1482,22013
NAIK,Asian and Pacific Islander,1645,598,90.3%,14898,1822
ESTRADA,Asian and Pacific Islander,1643,599,1.8%,298,92831
MOLINA,Asian and Pacific Islander,1643,599,2.3%,417,70211
SHUKLA,Asian and Pacific Islander,1640,601,92.7%,15252,1770
AGRAWAL,Asian and Pacific Islander,1634,602,93.2%,15369,1753
ANSARI,Asian and Pacific Islander,1632,603,50.0%,9180,3267
BUTT,Asian and Pacific Islander,1628,604,24.2%,4794,6732
MODI,Asian and Pacific Islander,1619,605,86.2%,14544,1879
THAKKAR,Asian and Pacific Islander,1619,605,92.0%,15327,1760
OTA,Asian and Pacific Islander,1613,607,79.1%,13641,2040
CHEE,Asian and Pacific Islander,1612,608,36.0%,6914,4477
KHANNA,Asian and Pacific Islander,1611,609,84.3%,14370,1910
RAY,Asian and Pacific Islander,1610,610,1.3%,208,128794
CHAND,Asian and Pacific Islander,1610,610,72.0%,12692,2235
RO,Asian and Pacific Islander,1610,610,80.7%,13885,1995
KAPADIA,Asian and Pacific Islander,1608,613,90.6%,15225,1774
HONDA,Asian and Pacific Islander,1602,614,77.2%,13451,2076
HARADA,Asian and Pacific Islander,1602,614,80.7%,13957,1984
TOY,Asian and Pacific Islander,1600,616,27.9%,5567,5730
CAMPBELL,Asian and Pacific Islander,1599,617,0.4%,43,371953
ZAMAN,Asian and Pacific Islander,1596,618,72.5%,12822,2202
DANIEL,Asian and Pacific Islander,1593,619,2.1%,380,75135
QIAN,Asian and Pacific Islander,1591,620,97.8%,16314,1626
LOH,Asian and Pacific Islander,1588,621,73.9%,13064,2150
DHALIWAL,Asian and Pacific Islander,1588,621,87.3%,14932,1818
LUK,Asian and Pacific Islander,1585,623,91.8%,15551,1727
PHILLIPS,Asian and Pacific Islander,1583,624,0.4%,47,351848
TAMURA,Asian and Pacific Islander,1580,625,81.0%,14143,1951
TAING,Asian and Pacific Islander,1574,626,91.6%,15619,1718
ISHII,Asian and Pacific Islander,1571,627,81.9%,14325,1918
SERRANO,Asian and Pacific Islander,1564,628,2.8%,545,55057
TIAN,Asian and Pacific Islander,1562,629,95.0%,16160,1645
JU,Asian and Pacific Islander,1557,630,91.5%,15752,1701
MORITA,Asian and Pacific Islander,1553,631,79.5%,14127,1954
CHOPRA,Asian and Pacific Islander,1553,631,84.9%,14857,1829
MONG,Asian and Pacific Islander,1548,633,49.6%,9550,3123
CUI,Asian and Pacific Islander,1541,634,95.1%,16368,1620
PARMAR,Asian and Pacific Islander,1539,635,85.1%,14995,1809
RIZVI,Asian and Pacific Islander,1538,636,80.5%,14370,1910
YAMASAKI,Asian and Pacific Islander,1536,637,81.5%,14503,1884
IP,Asian and Pacific Islander,1536,637,93.5%,16184,1642
SONI,Asian and Pacific Islander,1529,639,82.8%,14755,1846
LUNA,Asian and Pacific Islander,1523,640,2.0%,378,76127
MOHAN,Asian and Pacific Islander,1522,641,34.3%,6962,4440
CHINN,Asian and Pacific Islander,1518,642,24.7%,5220,6146
MARK,Asian and Pacific Islander,1517,643,9.5%,2091,15916
YING,Asian and Pacific Islander,1513,644,90.3%,15933,1676
FAJARDO,Asian and Pacific Islander,1512,645,14.4%,3139,10530
ROSARIO,Asian and Pacific Islander,1502,646,4.1%,865,36539
YUE,Asian and Pacific Islander,1502,646,93.2%,16444,1611
RAM,Asian and Pacific Islander,1495,648,54.0%,10629,2766
MERCHANT,Asian and Pacific Islander,1492,649,11.1%,2465,13421
MOHAMED,Asian and Pacific Islander,1489,650,11.9%,2655,12499
AOKI,Asian and Pacific Islander,1484,651,81.3%,14877,1825
FUJITA,Asian and Pacific Islander,1483,652,84.5%,15356,1756
SIMON,Asian and Pacific Islander,1482,653,2.0%,383,74839
LOWE,Asian and Pacific Islander,1480,654,1.7%,309,89178
VERGARA,Asian and Pacific Islander,1480,654,13.6%,3063,10844
SUM,Asian and Pacific Islander,1478,656,79.3%,14634,1864
DECASTRO,Asian and Pacific Islander,1476,657,34.9%,7265,4235
AZIZ,Asian and Pacific Islander,1471,658,31.1%,6604,4735
MUN,Asian and Pacific Islander,1470,659,91.9%,16535,1600
HUSAIN,Asian and Pacific Islander,1469,660,69.7%,13277,2108
ORTIZ,Asian and Pacific Islander,1460,661,0.7%,94,214683
SEN,Asian and Pacific Islander,1457,662,74.0%,14044,1969
HASEGAWA,Asian and Pacific Islander,1454,663,84.6%,15619,1718
ISHIKAWA,Asian and Pacific Islander,1452,664,84.9%,15676,1711
BORJA,Asian and Pacific Islander,1450,665,27.0%,5895,5376
HUR,Asian and Pacific Islander,1449,666,89.7%,16400,1616
ARAKAKI,Asian and Pacific Islander,1445,667,84.1%,15611,1719
GAN,Asian and Pacific Islander,1441,668,62.4%,12343,2309
BAI,Asian and Pacific Islander,1440,669,87.8%,16202,1640
DSOUZA,Asian and Pacific Islander,1438,670,80.6%,15154,1785
RUAN,Asian and Pacific Islander,1435,671,69.1%,13440,2077
MITCHELL,Asian and Pacific Islander,1433,672,0.4%,44,367433
VIRAY,Asian and Pacific Islander,1431,673,86.8%,16135,1648
PETERSON,Asian and Pacific Islander,1430,674,0.5%,63,275041
VENTURA,Asian and Pacific Islander,1429,675,5.3%,1196,26769
MIYASHIRO,Asian and Pacific Islander,1429,675,83.5%,15676,1711
PARKER,Asian and Pacific Islander,1427,677,0.4%,51,324246
MASUDA,Asian and Pacific Islander,1424,678,79.9%,15177,1783
MENON,Asian and Pacific Islander,1423,679,87.6%,16333,1624
HERRERA,Asian and Pacific Islander,1422,680,1.0%,175,140786
MATHEWS,Asian and Pacific Islander,1422,680,2.8%,609,50608
DOSHI,Asian and Pacific Islander,1415,682,90.3%,16776,1567
CARTER,Asian and Pacific Islander,1414,683,0.4%,46,362548
RAZA,Asian and Pacific Islander,1412,684,71.5%,14006,1976
XUE,Asian and Pacific Islander,1412,684,97.6%,17835,1447
SITU,Asian and Pacific Islander,1408,686,94.5%,17449,1490
GREEN,Asian and Pacific Islander,1406,687,0.3%,37,413477
WADA,Asian and Pacific Islander,1402,688,78.3%,15110,1791
LANG,Asian and Pacific Islander,1400,689,2.3%,499,59843
MISHRA,Asian and Pacific Islander,1400,689,90.7%,16977,1544
KHUU,Asian and Pacific Islander,1400,689,97.0%,17871,1444
GARG,Asian and Pacific Islander,1395,692,91.8%,17199,1519
SRIVASTAVA,Asian and Pacific Islander,1393,693,90.9%,17073,1533
SETHI,Asian and Pacific Islander,1388,694,86.2%,16450,1610
RYU,Asian and Pacific Islander,1388,694,94.2%,17588,1473
NARAYAN,Asian and Pacific Islander,1385,696,78.6%,15309,1762
NAKAMOTO,Asian and Pacific Islander,1382,697,81.5%,15780,1696
EVANS,Asian and Pacific Islander,1369,698,0.4%,48,342237
DELAROSA,Asian and Pacific Islander,1364,699,4.8%,1137,28134
CO,Asian and Pacific Islander,1364,699,79.6%,15652,1714
FUKUDA,Asian and Pacific Islander,1361,701,85.2%,16554,1597
CAMACHO,Asian and Pacific Islander,1357,702,2.8%,630,49000
MATHUR,Asian and Pacific Islander,1357,702,89.2%,17170,1522
LUCAS,Asian and Pacific Islander,1356,704,1.4%,275,100417
NAKASHIMA,Asian and Pacific Islander,1356,704,81.0%,15937,1675
LUC,Asian and Pacific Islander,1355,706,63.2%,13082,2145
MOHAMMAD,Asian and Pacific Islander,1353,707,37.3%,8377,3628
GOMES,Asian and Pacific Islander,1347,708,6.6%,1606,20532
SAN,Asian and Pacific Islander,1344,709,74.3%,14983,1810
MORRIS,Asian and Pacific Islander,1341,710,0.4%,56,311754
WHANG,Asian and Pacific Islander,1340,711,92.0%,17734,1457
ENDO,Asian and Pacific Islander,1338,712,78.8%,15771,1698
BRAR,Asian and Pacific Islander,1338,712,86.2%,16906,1553
REHMAN,Asian and Pacific Islander,1335,714,67.3%,13943,1985
FERNANDES,Asian and Pacific Islander,1333,715,9.3%,2305,14385
NGAI,Asian and Pacific Islander,1330,716,96.0%,18412,1385
GOTO,Asian and Pacific Islander,1329,717,28.3%,6639,4695
ZAIDI,Asian and Pacific Islander,1326,718,76.3%,15470,1738
MALLARI,Asian and Pacific Islander,1317,719,91.7%,17943,1436
NAKAYAMA,Asian and Pacific Islander,1315,720,85.5%,17030,1538
NATIVIDAD,Asian and Pacific Islander,1311,721,40.4%,9242,3244
CHAUHAN,Asian and Pacific Islander,1310,722,88.3%,17510,1483
ROSALES,Asian and Pacific Islander,1309,723,2.5%,595,51336
SEE,Asian and Pacific Islander,1300,724,15.5%,3880,8412
COOK,Asian and Pacific Islander,1297,725,0.4%,60,294795
LORENZO,Asian and Pacific Islander,1295,726,10.3%,2643,12568
MURPHY,Asian and Pacific Islander,1292,727,0.4%,58,300501
YOSHIMURA,Asian and Pacific Islander,1290,728,84.5%,17141,1526
CHOO,Asian and Pacific Islander,1290,728,89.0%,17813,1449
PANGILINAN,Asian and Pacific Islander,1289,730,90.7%,18087,1421
NAKATA,Asian and Pacific Islander,1279,731,81.0%,16688,1579
BANERJEE,Asian and Pacific Islander,1279,731,86.3%,17521,1482
KELLY,Asian and Pacific Islander,1276,733,0.5%,69,260385
PAL,Asian and Pacific Islander,1276,733,58.1%,12845,2196
THAN,Asian and Pacific Islander,1275,735,89.2%,18008,1429
VARUGHESE,Asian and Pacific Islander,1272,736,91.3%,18345,1393
EDWARDS,Asian and Pacific Islander,1268,737,0.4%,53,317070
BRIONES,Asian and Pacific Islander,1265,738,11.4%,2971,11143
CHE,Asian and Pacific Islander,1265,738,84.3%,17363,1500
CARLOS,Asian and Pacific Islander,1264,740,10.4%,2718,12162
ROBLES,Asian and Pacific Islander,1263,741,2.0%,489,61619
WOOD,Asian and Pacific Islander,1261,742,0.5%,75,247299
HIRATA,Asian and Pacific Islander,1260,743,82.2%,17087,1532
MAC,Asian and Pacific Islander,1253,744,67.4%,14664,1859
HAMADA,Asian and Pacific Islander,1251,745,67.9%,14783,1842
AGGARWAL,Asian and Pacific Islander,1248,746,91.6%,18634,1363
SOM,Asian and Pacific Islander,1246,747,83.2%,17377,1498
NOH,Asian and Pacific Islander,1243,748,87.1%,18025,1427
PATIL,Asian and Pacific Islander,1243,748,89.6%,18389,1388
SAETEURN,Asian and Pacific Islander,1243,748,93.0%,18892,1337
SEBASTIAN,Asian and Pacific Islander,1242,751,11.4%,3055,10878
NICOLAS,Asian and Pacific Islander,1241,752,21.5%,5525,5783
THOR,Asian and Pacific Islander,1241,752,55.8%,12737,2225
CHERIAN,Asian and Pacific Islander,1239,754,88.9%,18345,1393
INOUE,Asian and Pacific Islander,1237,755,89.3%,18412,1385
ROGERS,Asian and Pacific Islander,1236,756,0.4%,61,294403
SOOHOO,Asian and Pacific Islander,1232,757,89.1%,18447,1382
CHAWLA,Asian and Pacific Islander,1231,758,89.9%,18582,1369
LAKHANI,Asian and Pacific Islander,1222,759,83.1%,17613,1470
CHUI,Asian and Pacific Islander,1219,760,93.6%,19248,1303
DY,Asian and Pacific Islander,1217,761,85.6%,18077,1422
CARINO,Asian and Pacific Islander,1216,762,33.3%,8334,3654
AUSTRIA,Asian and Pacific Islander,1216,762,78.6%,16944,1548
QU,Asian and Pacific Islander,1214,764,95.5%,19629,1271
ODA,Asian and Pacific Islander,1213,765,69.4%,15408,1747
MOMIN,Asian and Pacific Islander,1213,765,86.3%,18239,1405
BELTRAN,Asian and Pacific Islander,1212,767,3.5%,914,34736
MACH,Asian and Pacific Islander,1209,768,25.3%,6552,4770
ANWAR,Asian and Pacific Islander,1205,769,65.2%,14745,1847
